height,version,mrkl_root,timestamp,Time Interval,Date,bits,Bitcoins,nonce,hash,prev_block_hash,next_block_hash,size,pool_difficulty,difficulty,difficulty_double,tx_count,reward_block,reward_fees,confirmations,is_orphan,curr_max_timestamp,is_sw_block,stripped_size,sigops,weight,extras/pool_name,extras/pool_link
797367,545259520,d33c9f5fa5824b847b5834894bf71aeac2300c88016a7f6807c3e0ab47265d22,1688600465,1331,7/5/23,386240190,386,4098179911,0000000000000000000372d2f497a8986e0e1cc20c7726d039c78df3f83a65da,000000000000000000057acd933b31c059e4f1e362b7a1cb3ff20989d0ecc1e1,000000000000000000022562d087aab671adf96bb38a3b0653fdd10bbb6f138b,1710229,8.16E+13,5.06E+13,5.06E+13,2781,625000000,16936191,2092,FALSE,1688600465,TRUE,762550,15361,3997879,F2Pool,https://www.f2pool.com/
797366,536870912,4284ce2b9cb5d4a5b82a02476351e52c3d7b46d22585443f11badac7b227b888,1688599134,367,7/5/23,386240190,386,1119693366,000000000000000000057acd933b31c059e4f1e362b7a1cb3ff20989d0ecc1e1,000000000000000000057f0e7b88af058d5eac4785daacfd4ebd13c0d7d80168,0000000000000000000372d2f497a8986e0e1cc20c7726d039c78df3f83a65da,1801808,5.14E+13,5.06E+13,5.06E+13,3674,625000000,8589008,2093,FALSE,1688599134,TRUE,730540,7315,3993428,AntPool,https://www.antpool.com/
797365,575062016,c5c255c2c1d71b6aeda2782a7778dd8cf898e6cb83c09caa84e2efee197ce914,1688598767,83,7/5/23,386240190,386,924298883,000000000000000000057f0e7b88af058d5eac4785daacfd4ebd13c0d7d80168,000000000000000000026b6a8d8ce00f3d2c229d3d1d715a1c7f7596720eeaa4,000000000000000000057acd933b31c059e4f1e362b7a1cb3ff20989d0ecc1e1,1730753,5.12E+13,5.06E+13,5.06E+13,3728,625000000,7281430,2094,FALSE,1688598767,TRUE,754008,6729,3992777,unknown,
797364,731922432,fda10091d1c0333187419279e4f667969bf0945d2c94434ac9c983969cca01e3,1688598684,1779,7/5/23,386240190,386,1136941621,000000000000000000026b6a8d8ce00f3d2c229d3d1d715a1c7f7596720eeaa4,00000000000000000002f061f9c6bb00ec905b504ea6952f997163ab76ba40b4,000000000000000000057f0e7b88af058d5eac4785daacfd4ebd13c0d7d80168,1507491,1.16E+14,5.06E+13,5.06E+13,2992,625000000,20602043,2095,FALSE,1688598684,TRUE,828644,18771,3993423,AntPool,https://www.antpool.com/
797363,635879424,b030925e4317cfe93cf424a064d25c7413a3324f421fd6e7c15df551c98555bf,1688596905,208,7/5/23,386240190,386,458373145,00000000000000000002f061f9c6bb00ec905b504ea6952f997163ab76ba40b4,000000000000000000014c5999cbce2ce3b7e191fb631ec736cf5fbfbd142484,00000000000000000004078d6555cbef36e9f862e6a14c673c59c534334a4458,1886270,9.58E+13,5.06E+13,5.06E+13,5220,625000000,6914275,2096,FALSE,1688596905,TRUE,702132,3561,3992666,Foundry USA,https://foundrydigital.com/
797362,682754048,efb77cba7cce15aa7e2bf65066b52df783c1a5d2195700694ddf74471816deec,1688596697,225,7/5/23,386240190,386,871245063,000000000000000000014c5999cbce2ce3b7e191fb631ec736cf5fbfbd142484,000000000000000000001d0920518e89845ef5917cedd031584bd846491a0937,00000000000000000002f061f9c6bb00ec905b504ea6952f997163ab76ba40b4,1758235,2.17E+14,5.06E+13,5.06E+13,4437,625000000,6985226,2097,FALSE,1688596697,TRUE,744851,3426,3992788,MARA Pool,https://marapool.com
797361,1073733632,e3d584b55284a11d15a69ad315df29aeb07ba6fce0e2ac3f08d79de586d9c404,1688596472,142,7/5/23,386240190,386,1819389122,000000000000000000001d0920518e89845ef5917cedd031584bd846491a0937,00000000000000000002d29df8f2b36190a90355022f0421f7a2f775ca628faa,00000000000000000002f1ad1c763d99b4503ff10a6d4250acdf86abe785a961,1911835,2.48E+15,5.06E+13,5.06E+13,4265,625000000,6837430,2098,FALSE,1688596472,TRUE,693854,15548,3993397,AntPool,https://www.antpool.com/
797360,536879104,1f030c4cb365e093030603e9e04e68887176cd4bf6bec00fcd867f23b75f6d03,1688596330,738,7/5/23,386240190,386,1812963330,00000000000000000002d29df8f2b36190a90355022f0421f7a2f775ca628faa,0000000000000000000041953dd4b420dad0a1c2e1690218323fc5b2ae513260,00000000000000000004aa4e02b95f376d30d3b81320b8dc0e8da2a0ae621f34,1469168,9.97E+13,5.06E+13,5.06E+13,2323,625000000,14092356,2099,FALSE,1688596330,TRUE,841414,13933,3993410,Binance Pool,https://pool.binance.com/
797359,543162368,08c1d463a440c652686c79ca2299ea4c0ba51a457153997e470165e970a2cc4d,1688595592,4,7/5/23,386240190,386,1255237164,0000000000000000000041953dd4b420dad0a1c2e1690218323fc5b2ae513260,0000000000000000000434aaa2cad996d774b66a17974ad1381f618a78e93e73,00000000000000000002d29df8f2b36190a90355022f0421f7a2f775ca628faa,1964570,1.10E+15,5.06E+13,5.06E+13,2836,625000000,5612993,2100,FALSE,1688595592,TRUE,676143,3163,3992999,Foundry USA,https://foundrydigital.com/
797358,871161856,b4867f484135525887bc428884646743d6083e310feba634c3f1d7a4cac37572,1688595588,1039,7/5/23,386240190,386,1284557686,0000000000000000000434aaa2cad996d774b66a17974ad1381f618a78e93e73,00000000000000000000bdfc3aab416c30cf986a0b2c6b8950e24a62db7f8597,0000000000000000000041953dd4b420dad0a1c2e1690218323fc5b2ae513260,1400762,6.69E+13,5.06E+13,5.06E+13,2315,625000000,18601242,2101,FALSE,1688595588,TRUE,864150,13913,3993212,Poolin,https://www.poolin.com/
797357,536952832,922ea6abff694d43100ff3490c7e3fe28fbd109c544364ba16a81e38b0d2e771,1688594549,621,7/5/23,386240190,386,3235060952,00000000000000000000bdfc3aab416c30cf986a0b2c6b8950e24a62db7f8597,000000000000000000044454e63057f99ff60d474046af0a5e044c749f944b15,000000000000000000024b90d54c42f35933568442bec79a2cb5a346e4f3b83e,1369680,3.79E+14,5.06E+13,5.06E+13,1883,625000000,16103989,2102,FALSE,1688594549,TRUE,876042,12210,3997806,F2Pool,https://www.f2pool.com/
797356,671088640,5f5838f187156a168b051f64dd04582649641dee2a26ee85bf6fa8d18a6aa89a,1688593928,868,7/5/23,386240190,386,127537964,000000000000000000044454e63057f99ff60d474046af0a5e044c749f944b15,000000000000000000002c52c7a673031ea0e1662a9385ac9c446f21eb67168a,000000000000000000024b90d54c42f35933568442bec79a2cb5a346e4f3b83e,1646368,6.60E+13,5.06E+13,5.06E+13,3305,625000000,15402808,2103,FALSE,1688593928,TRUE,783716,14400,3997516,F2Pool,https://www.f2pool.com/
797355,549453824,16bac46cacbe985bdde6727cb29cbdea1d1c816cde375e0c59904a5ae1cf66dc,1688593060,5,7/5/23,386240190,386,3307452711,000000000000000000002c52c7a673031ea0e1662a9385ac9c446f21eb67168a,000000000000000000014b5b090b6e009b4fbc6c7d85564f15e9d4f41f1738a3,00000000000000000002d29df8f2b36190a90355022f0421f7a2f775ca628faa,2080941,1.63E+15,5.06E+13,5.06E+13,6509,625000000,4222721,2104,FALSE,1688593060,TRUE,638826,84,3997419,F2Pool,https://www.f2pool.com/
797354,545259520,a1c9a640d16a5c79f655f351dd84215ac5e45619b162d977045276af61c2c7ec,1688593055,508,7/5/23,386240190,386,1787803162,000000000000000000014b5b090b6e009b4fbc6c7d85564f15e9d4f41f1738a3,000000000000000000057d166696acc9c13d7185264735cd12420cec1af45da6,0000000000000000000041953dd4b420dad0a1c2e1690218323fc5b2ae513260,2023422,2.17E+14,5.06E+13,5.06E+13,4301,625000000,10435397,2105,FALSE,1688593055,TRUE,656659,8799,3993399,AntPool,https://www.antpool.com/
797353,842833920,c37c72aa2f8e029ee13c298ff4288b6ec5558ee6acb78d8a89f06c2b808df35b,1688592547,278,7/5/23,386240190,386,2802813442,000000000000000000057d166696acc9c13d7185264735cd12420cec1af45da6,00000000000000000002f1ad1c763d99b4503ff10a6d4250acdf86abe785a961,000000000000000000057acd933b31c059e4f1e362b7a1cb3ff20989d0ecc1e1,1912816,5.13E+13,5.06E+13,5.06E+13,3443,625000000,8483560,2106,FALSE,1688592547,TRUE,693614,4554,3993658,AntPool,https://www.antpool.com/
797352,694755328,bfd1718158638e8b0dd7273665011047b0e19fae6281a60e13a28a3f965c34b6,1688592269,397,7/5/23,386240190,386,135736941,00000000000000000002f1ad1c763d99b4503ff10a6d4250acdf86abe785a961,00000000000000000004aa4e02b95f376d30d3b81320b8dc0e8da2a0ae621f34,000000000000000000057d166696acc9c13d7185264735cd12420cec1af45da6,1985468,9.56E+13,5.06E+13,5.06E+13,3104,625000000,9935292,2107,FALSE,1688592269,TRUE,669091,8289,3992741,Luxor,https://mining.luxor.tech
797351,536870912,4ece919fd99fa1036b758cd6d5d2fb4aa45e4b7e780b23c1ad96b8ddd936cb9b,1688591872,30,7/5/23,386240190,386,1777160090,00000000000000000004aa4e02b95f376d30d3b81320b8dc0e8da2a0ae621f34,000000000000000000024b90d54c42f35933568442bec79a2cb5a346e4f3b83e,00000000000000000002f1ad1c763d99b4503ff10a6d4250acdf86abe785a961,1989060,6.03E+13,5.06E+13,5.06E+13,3855,625000000,5738304,2108,FALSE,1688591872,TRUE,667945,3997,3992895,Binance Pool,https://pool.binance.com/
797350,551542784,bacb019c4bfec07d4de228418b283cb82d7c7edcbdc27c73fa8cf46e63c44241,1688591842,884,7/5/23,386240190,386,1159706666,000000000000000000024b90d54c42f35933568442bec79a2cb5a346e4f3b83e,00000000000000000002fdd2de528b52ed2939c5a894e7dac3ee74daa044fadf,0000000000000000000434aaa2cad996d774b66a17974ad1381f618a78e93e73,1650267,1.23E+14,5.06E+13,5.06E+13,2941,625000000,16612523,2109,FALSE,1688591842,TRUE,780934,14831,3993069,Foundry USA,https://foundrydigital.com/
