,Date,priceUSD,transactions,size,sentbyaddress,difficulty,hashrate,mining_profitability,sentinusdUSD,transactionfeesUSD,median_transaction_feeUSD,confirmationtime,transactionvalueUSD,mediantransactionvalueUSD,activeaddresses,top100cap,fee_to_rewardUSD,extras/pool_name
4132,11/9/21,67547,335259,840374,592771,2.17E+13,1.46E+20,0.45,52357347404,4.688,1.562,9.474,994924,862.828,1051093,14.778,2.392,Foundry USA
4133,11/10/21,66810,300876,793099,557602,2.17E+13,1.63E+20,0.389,42941419697,4.089,1.347,9.664,1023875,901.932,860428,14.784,1.94,AntPool
4131,11/8/21,65725,285671,727985,531868,2.17E+13,1.67E+20,0.338,69673974848,3.704,1.073,10.667,1346936,974.982,857935,14.745,1.873,Foundry USA
4138,11/15/21,65132,288284,734774,530044,2.27E+13,1.75E+20,0.356,50929879359,2.86,0.629,9.536,985657,782.731,929778,14.784,1.324,ViaBTC
4134,11/11/21,64900,293507,683536,546814,2.17E+13,1.71E+20,0.381,41747080599,3.44,0.99,9.114,855885,736.361,904906,14.818,1.552,F2Pool
4112,10/20/21,64842,291664,681986,544445,2.01E+13,1.64E+20,0.377,49837645916,4.167,1.245,9.664,1090854,977.615,843972,14.743,1.974,F2Pool
4137,11/14/21,64468,223859,483642,431571,2.24E+13,1.75E+20,0.364,24526830315,2.497,0.637,9.172,872964,633.57,707496,14.787,0.877,Foundry USA
4113,10/21/21,64384,320595,827285,575722,2.01E+13,1.45E+20,0.419,52811558197,4.102,1.29,9.73,882843,840.552,1000445,14.693,2.161,AntPool
4135,11/12/21,64162,281907,695662,534789,2.17E+13,1.58E+20,0.366,46481131975,3.388,0.986,10.141,917811,745.202,820267,14.772,1.65,F2Pool
4136,11/13/21,64030,238481,543408,475630,2.17E+13,1.58E+20,0.393,23769823004,2.871,0.818,9.412,890365,650.09,740931,14.779,1.107,Foundry USA
3923,4/14/21,63438,297359,902130,519415,2.31E+13,1.52E+20,0.409,49629168041,29.053,13.477,10.667,389263,1285,949048,14.464,13.903,Foundry USA
3924,4/15/21,62899,359268,892547,554823,2.32E+13,1.82E+20,0.426,36809487178,27.187,12.136,8.372,323211,974.167,1196069,14.513,12.627,Foundry USA
4126,11/3/21,62829,288585,645429,556024,2.17E+13,1.76E+20,0.365,45407406462,3.469,0.81,8.944,740620,826.408,890217,14.718,1.56,AntPool
